"No.","Time","Source","Destination","Protocol","Length","Info"
"72","2.710648600","192.168.1.100","142.251.127.188","TCP","54","59216  >  5228 [ACK] Seq=27 Ack=27 Win=255 Len=0"
"73","2.982183800","172.217.23.74","192.168.1.100","UDP","205","443  >  57423 Len=163"
"74","2.982393800","192.168.1.100","172.217.23.74","UDP","75","57423  >  443 Len=33"
"75","3.227557600","ZyxelCommuni_83:31:00","IEEE-1905.1-Control","ieee1905","657","Vendor specific"
"76","3.270585600","192.168.1.100","192.168.1.147","TLSv1.2","164","Application Data"
"77","3.270585500","192.168.1.100","192.168.1.147","TLSv1.2","164","Application Data"
"78","3.336413200","TPLink_01:f0:9a","Broadcast","ARP","60","Who has 192.168.1.15? Tell 192.168.1.21"
"79","3.356408000","192.168.1.147","192.168.1.100","TLSv1.2","164","Application Data"
"80","3.356408000","192.168.1.147","192.168.1.100","TLSv1.2","164","Application Data"
"81","3.365818000","192.168.1.100","34.158.1.133","TCP","65","63937  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=251 Len=11"
"82","3.396749600","192.168.1.100","192.168.1.147","TCP","54","53672  >  8009 [ACK] Seq=111 Ack=111 Win=252 Len=0"
"83","3.396765200","192.168.1.100","192.168.1.147","TCP","54","64334  >  8009 [ACK] Seq=111 Ack=111 Win=255 Len=0"
"84","3.410594800","34.158.1.133","192.168.1.100","TCP","65","4070  >  63937 [PSH, ACK] Seq=1 Ack=12 Win=11 Len=11"
"85","3.458178500","192.168.1.100","34.158.1.133","TCP","54","63937  >  4070 [ACK] Seq=12 Ack=12 Win=251 Len=0"
"86","3.621113400","192.168.1.1","192.168.1.100","TCP","60","38400  >  61680 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"87","3.621140600","192.168.1.100","192.168.1.1","TCP","54","[TCP ACKed unseen segment] 61680  >  38400 [ACK] Seq=1 Ack=2 Win=64704 Len=0"
"88","3.904834200","192.168.1.100","192.168.1.255","UDP","404","65253  >  21027 Len=362"
"89","4.109941600","192.168.1.100","172.217.23.174","UDP","1294","62950  >  443 Len=1252"
"90","4.109992000","192.168.1.100","172.217.23.174","UDP","894","62950  >  443 Len=852"
"91","4.155642900","172.217.23.174","192.168.1.100","UDP","125","443  >  62950 Len=83"
"92","4.155989100","192.168.1.100","172.217.23.174","UDP","82","62950  >  443 Len=40"
"93","4.199552500","172.217.23.174","192.168.1.100","UDP","74","443  >  62950 Len=32"
"94","4.865885700","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.21? Tell 192.168.1.1"
"95","4.906261000","192.168.1.100","35.186.224.34","TLSv1.2","97","Application Data"
"96","4.943670000","35.186.224.34","192.168.1.100","TCP","60","443  >  57042 [ACK] Seq=1 Ack=44 Win=1043 Len=0"
"97","4.956783500","35.186.224.34","192.168.1.100","TLSv1.2","94","Application Data"
"98","4.998787700","192.168.1.100","35.186.224.34","TCP","54","57042  >  443 [ACK] Seq=44 Ack=41 Win=251 Len=0"
"99","5.070570900","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.228? Tell 192.168.1.1"
"100","5.177839100","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.146? Tell 192.168.1.1"
"101","5.230725800","192.168.1.1","239.255.255.250","SSDP","368","NOTIFY * HTTP/1.1 "
"102","5.302301100","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.147? Tell 192.168.1.1"
"103","5.342224600","192.168.1.1","239.255.255.250","SSDP","368","NOTIFY * HTTP/1.1 "
"104","5.367364300","192.168.1.100","128.116.21.3","TLSv1.2","93","Application Data"
"105","5.367416600","192.168.1.100","128.116.5.3","TLSv1.2","93","Application Data"
"106","5.407160100","128.116.5.3","192.168.1.100","TLSv1.2","93","Application Data"
"107","5.417105100","128.116.21.3","192.168.1.100","TLSv1.2","93","Application Data"
"108","5.450408900","192.168.1.1","239.255.255.250","SSDP","377","NOTIFY * HTTP/1.1 "
"109","5.450927000","192.168.1.100","128.116.5.3","TCP","54","62122  >  443 [ACK] Seq=40 Ack=40 Win=252 Len=0"
"110","5.467177700","192.168.1.100","128.116.21.3","TCP","54","62123  >  443 [ACK] Seq=40 Ack=40 Win=255 Len=0"
"111","5.559996200","192.168.1.1","239.255.255.250","SSDP","377","NOTIFY * HTTP/1.1 "
